id,supercategories,claim_labels
221,"[100, 1300]","[100, 105, 1300, 1303]"
222,"[200, 100]","[100, 105, 200, 201]"
223,[700],"[700, 701, 705, 709]"
224,"[100, 300]","[100, 108, 300, 301]"
225,[300],"[300, 325, 331]"
226,"[100, 500]","[100, 103, 500, 508]"
227,"[100, 1900]","[100, 105, 1900, 1901]"
228,"[100, 300]","[100, 105, 300, 301]"
229,[1900],"[1900, 1926]"
230,[200],"[200, 230]"
231,[100],[100]
232,[],[]
233,"[1900, 500]","[500, 503, 529, 1900]"
234,"[100, 1300]","[100, 107, 1300, 1303]"
235,"[300, 500]","[300, 301, 500, 508]"
236,[],[]
237,"[1900, 200]","[200, 230, 1900, 1910]"
238,[],[]
239,"[100, 300]","[100, 103, 105, 300, 301]"
240,[],[]
241,"[300, 500]","[300, 301, 500, 504]"
242,[1200],"[1200, 1209, 1211]"
243,[200],"[200, 230]"
244,[],[]
245,"[500, 100, 1300]","[100, 105, 500, 502, 1300, 1302]"
246,"[100, 800]","[100, 107, 800, 806]"
247,[1300],[1300]
248,[],[]
249,[100],"[100, 107]"
250,[],[]
251,[1300],"[1300, 1304]"
252,"[100, 1400]","[100, 107, 1400, 1401]"
253,[100],"[100, 105]"
254,[100],"[100, 105]"
255,"[100, 1300]","[100, 105, 1300, 1303]"
256,[100],"[100, 105]"
257,[100],"[100, 105]"
258,[300],"[300, 325, 331]"
259,"[1900, 100]","[100, 105, 1900, 1910]"
260,[],[]
261,[100],[100]
262,[300],"[300, 301, 331, 1300, 1303]"
263,"[100, 1900]","[100, 105, 1900, 1901]"
264,[1400],"[1400, 1401, 1410]"
265,[1900],"[1900, 1910]"
266,"[100, 600]","[100, 105, 600, 603]"
267,"[1300, 1400]","[1300, 1304, 1400, 1401]"
268,"[200, 500]","[200, 230, 500, 505]"
269,[100],"[100, 103]"
270,[200],"[200, 207]"
271,[1900],"[1900, 1910]"
272,[],[]
273,[],[]
274,"[1900, 100]","[100, 105, 1900]"
275,[1900],"[1900, 1910]"
276,"[100, 1400]","[100, 107, 1400, 1410]"
277,"[1900, 1600]","[1600, 1610, 1900, 1920]"
278,[100],"[100, 107]"
279,[1900],"[1900, 1920]"
280,[200],"[200, 230]"
281,[500],"[500, 529]"
282,[],[]
283,[],[]
284,"[700, 1900]","[700, 705, 1900, 1901]"
285,[1600],"[1600, 1610]"
286,"[100, 600]","[100, 105, 600, 601]"
287,"[200, 100]","[100, 105, 200, 201, 207]"
288,[200],"[200, 201]"
289,[],[]
290,[],[]
291,"[1900, 100]","[100, 105, 1900, 1910]"
292,"[1200, 1600]","[1200, 1202, 1600, 1627]"
293,"[1600, 1900]","[1600, 1610, 1900, 1920]"
294,[],[]
295,"[1600, 100]","[100, 105, 1600, 1610]"
296,[1900],"[200, 230, 1900]"
297,[],[]
298,[100],"[100, 105]"
299,[],[]
300,[1200],"[1200, 1205]"
301,[1900],"[1900, 1910]"
302,[100],"[100, 107]"
303,"[1300, 500]","[500, 502, 1300, 1302]"
304,[200],"[200, 230]"
305,[2000],"[2000, 2012]"
306,[100],[100]
307,[600],"[600, 602]"
308,[300],"[300, 331]"
309,"[400, 700]","[400, 401, 700, 709]"
310,[1200],"[1200, 1207]"
311,[1900],"[1900, 1926]"
312,"[100, 1300]","[100, 105, 1300, 1303]"
313,"[1300, 100]","[100, 105, 1300]"
314,[100],"[100, 107]"
315,"[600, 1400]","[600, 601, 1400, 1401]"
316,[100],"[100, 105, 107]"
317,[200],"[200, 230]"
318,[300],"[300, 325, 331]"
319,[],[]
320,[100],"[100, 105]"
321,[1900],"[1900, 1910]"
322,"[100, 1300, 500]","[100, 105, 500, 502, 1300, 1303]"
323,"[100, 1300]","[100, 103, 1300, 1302]"
324,[],[]
325,"[300, 500]","[300, 325, 500, 504]"
326,[1600],"[1600, 1610]"
327,"[300, 500]","[300, 331, 500, 504]"
328,[100],"[100, 105]"
329,[],[]
330,"[100, 300]","[100, 105, 300, 325]"
331,"[100, 1400]","[100, 105, 1400, 1401]"
332,[500],"[500, 504]"
333,[],[]
334,[],[]
335,[200],"[200, 230]"
336,[100],"[100, 105]"
337,[],[]
338,[1200],"[1200, 1205]"
339,"[100, 300]","[100, 105, 300, 301]"
340,"[100, 1200]","[100, 104, 1200, 1202]"
341,[200],"[200, 230]"
342,"[100, 1300]","[100, 105, 1300, 1303]"
343,"[100, 1400]","[100, 105, 1400, 1401]"
351,[800],"[800, 801, 806]"
361,"[1600, 1300]","[1300, 1303, 1600, 1610]"
388,"[100, 700]","[100, 105, 700, 703, 705]"
394,[1600],"[1600, 1610]"
404,[1200],"[1200, 1202, 1205, 1209]"
416,"[1900, 100]","[1000, 1005, 1900]"
429,"[100, 300]","[100, 108, 300, 301]"
432,"[100, 1300]","[100, 300, 301, 1300, 1303]"
447,[100],"[100, 105]"
455,"[1300, 200]","[200, 201, 1300, 1304]"
484,"[1200, 1300]","[1200, 1205, 1300, 1303]"
624,"[1800, 1900]","[1800, 1803, 1900, 1911]"
628,[300],"[300, 331]"
671,"[100, 200]","[100, 105, 200, 201]"
737,[700],"[700, 705]"
748,"[1000, 700]","[700, 701, 1000, 1005]"
998,"[1600, 1400]","[1400, 1401, 1600, 1610]"
1222,"[1200, 300]","[300, 344, 1200, 1203]"
1361,"[100, 200, 700]","[100, 105, 200, 201, 700, 705]"
1420,[1200],"[1200, 1202, 1209]"
1426,"[500, 1300]","[500, 506, 1300, 1302]"
1756,[200],"[200, 201]"
2601,"[1900, 400]","[400, 408, 1900, 1910]"
3070,[],[]
3356,"[100, 200]","[100, 105, 200, 201]"
