id,supercategories,claim_labels
72,"[1000, 2000]","[1000, 1002, 1005, 2000, 2011, 2012]"
73,"[1300, 300]","[100, 105, 107, 300, 301, 334, 1300, 1304]"
74,[1300],"[1300, 1302]"
75,"[100, 500]","[100, 105, 500, 503, 505]"
76,"[1000, 2000]","[1000, 1001, 2000, 2011, 2012]"
77,"[1000, 200, 500]","[200, 201, 500, 505, 1000, 1002]"
78,"[100, 1400]","[100, 105, 1400, 1401, 1409]"
79,[2000],[2000]
80,"[100, 200]","[100, 105, 107, 200, 201]"
81,"[100, 200]","[100, 105, 200, 207]"
82,"[100, 200]","[100, 107, 200, 201]"
83,"[200, 1000, 800]","[200, 207, 800, 805, 1000, 1002]"
84,"[200, 500, 1400]","[200, 230, 500, 529, 1400, 1401]"
85,"[100, 200]","[100, 105, 200, 201, 1000, 1001]"
86,[200],"[200, 230]"
87,"[100, 1400, 1000, 300]","[100, 105, 300, 301, 1000, 1002, 1400, 1401]"
88,"[100, 200]","[100, 107, 200, 201, 207]"
89,"[300, 1000]","[300, 301, 1000, 1001]"
90,"[100, 300]","[100, 105, 300, 301, 331]"
91,"[100, 200]","[100, 105, 200, 201, 207]"
92,[2000],"[2000, 2012]"
93,"[100, 1600, 200]","[100, 105, 200, 201, 207, 1600, 1610]"
94,[500],"[500, 504]"
95,"[1000, 2000]","[1000, 1002, 2000, 2011]"
96,"[100, 500]","[100, 105, 500, 502, 503, 504, 505, 508]"
97,[600],"[600, 601]"
98,[600],"[600, 601, 603]"
99,"[100, 200, 300]","[100, 105, 200, 201, 300, 301, 331]"
100,[500],"[500, 505]"
101,[2000],"[2000, 2012]"
102,"[100, 1300]","[100, 105, 1300, 1303]"
103,[1600],[1600]
104,"[100, 300, 600]","[100, 105, 300, 301, 600, 604]"
105,[],[]
106,"[100, 500]","[100, 105, 500, 503]"
107,[300],"[300, 301, 325, 334]"
108,"[100, 200]","[100, 200]"
109,[300],"[300, 301, 325, 334]"
110,"[100, 200]","[100, 105, 200, 201, 1000, 1001]"
111,"[100, 300, 200]","[100, 105, 200, 201, 230, 300, 301]"
112,[100],"[100, 105]"
113,[200],"[200, 207]"
114,[],[]
115,"[1000, 2000]","[1000, 1001, 2000, 2011]"
116,"[600, 500, 1400]","[600, 601, 604, 1400, 1401, 1406]"
117,[],[]
118,[200],"[200, 202]"
119,[300],"[300, 301]"
120,[1300],"[1300, 1303, 1304]"
121,"[1000, 1600, 200]","[200, 201, 1000, 1002, 1600, 1603]"
122,[200],"[200, 201, 207]"
123,"[100, 200]","[100, 105, 200, 201]"
124,"[100, 200]","[100, 105, 200, 201]"
125,[1000],[1000]
126,[],[]
127,"[100, 500]","[100, 105, 500, 504]"
128,"[1000, 500]","[500, 505, 1000, 1005]"
129,[200],"[200, 230]"
130,"[1000, 500]","[500, 502, 506, 1000, 1005]"
131,"[1900, 700]","[700, 701, 1900, 1901]"
132,"[100, 300, 1300]","[100, 105, 300, 301, 1300, 1302]"
133,"[1300, 300]","[300, 301, 1300, 1304]"
134,"[100, 200]","[100, 200, 201]"
135,"[100, 200]","[100, 105, 200, 201]"
136,"[200, 500, 1000]","[200, 201, 500, 505, 1000, 1002]"
137,"[100, 200, 300, 500, 600]","[100, 105, 200, 230, 300, 301, 500, 502, 600, 601]"
138,"[100, 200]","[100, 105, 200, 201]"
139,[600],"[600, 601]"
140,"[700, 800]","[700, 705, 800, 803, 807]"
141,[],[]
142,[],[]
143,[2000],[2000]
144,"[100, 200]","[100, 105, 200, 201]"
145,"[100, 600, 500]","[100, 105, 500, 502, 506, 600, 604]"
146,"[100, 200, 700]","[100, 105, 200, 201, 700, 701, 705]"
147,"[100, 200]","[100, 105, 200, 201, 207]"
148,"[100, 200]","[100, 200]"
149,[1200],"[1200, 1202, 1203, 1205, 1209]"
150,"[100, 500]","[100, 105, 500, 502, 503]"
151,"[1000, 1200, 200]","[200, 201, 1000, 1002, 1200, 1209]"
152,"[1000, 1200]","[1000, 1001, 1200, 1202]"
153,"[1000, 200, 500]","[200, 201, 500, 502, 506, 1000, 1002]"
154,[],[]
155,[800],"[800, 807]"
156,[2000],"[2000, 2012]"
157,"[100, 200]","[100, 107, 200, 201]"
158,"[100, 200]","[100, 105, 200, 201, 207]"
159,"[1000, 200, 300]","[200, 201, 300, 301, 331, 1000, 1002]"
160,[],[]
161,"[100, 500]","[100, 105, 500, 502, 503, 505, 506]"
162,"[1000, 1200, 200]","[200, 201, 1000, 1002, 1200, 1202]"
163,[1200],"[1200, 1202, 1203, 1205, 1209]"
164,[1000],[1000]
165,[200],"[200, 230]"
166,[1000],[1000]
167,[],[]
168,"[500, 1000]","[500, 504, 1000, 1002]"
169,[800],"[800, 801]"
170,"[1000, 2000]","[1000, 1001, 2000, 2011]"
171,"[100, 200, 500, 600, 700]","[100, 105, 200, 201, 500, 502, 600, 601, 700, 701]"
172,"[100, 500]","[100, 105, 500, 502, 504]"
173,[300],"[300, 331]"
174,"[100, 1300]","[100, 105, 1300, 1303, 1304]"
175,[1400],"[1400, 1401]"
176,"[100, 500, 150]","[100, 105, 500, 502, 1500, 1521]"
177,"[100, 200, 300]","[100, 105, 200, 201, 300, 301, 1000, 1001]"
178,"[1000, 2000]","[1000, 1002, 2000, 2012]"
179,"[100, 180, 400]","[100, 105, 180, 400, 401, 1800, 1803]"
180,"[1900, 1600]","[1600, 1603, 1900, 1901]"
181,"[100, 200]","[100, 105, 200, 201]"
182,"[100, 700]","[100, 103, 105, 107, 108, 700, 701, 703, 705]"
183,"[1400, 1000]","[1000, 1002, 1400, 1401, 1406]"
184,[200],"[200, 202]"
185,"[100, 200]","[100, 107, 200, 201]"
186,[100],"[100, 107]"
187,"[200, 500, 1300]","[200, 207, 500, 504, 1300, 1303]"
188,"[100, 200]","[100, 105, 200, 201]"
189,"[100, 1800]","[100, 1800, 1803]"
190,"[100, 200]","[100, 105, 200, 201, 207, 600, 602, 1000, 1001]"
191,"[100, 300]","[100, 105, 300, 301]"
192,[300],"[300, 301]"
193,[100],"[100, 107]"
194,"[100, 200]","[100, 101, 103, 105, 107]"
195,"[100, 200]","[100, 105, 107, 200, 201]"
196,"[600, 100, 1300]","[100, 101, 600, 603, 1300, 1303]"
197,[],[]
198,[500],"[500, 504]"
199,"[100, 200]","[100, 105, 200, 201]"
200,[1900],"[1900, 1926]"
201,"[100, 500]","[100, 105, 500, 502]"
202,[1000],[1000]
203,[],[]
204,"[100, 200]","[100, 105, 107, 200, 201]"
205,"[100, 200]","[100, 108, 200, 201]"
206,[1900],"[1900, 1926]"
207,"[1000, 200]","[200, 201, 1000, 1002]"
208,[1000],[1000]
209,"[100, 200]","[100, 101, 105, 200, 201]"
210,"[1000, 2000]","[1000, 2000]"
211,"[100, 1800]","[100, 105, 1800, 1803]"
212,"[100, 1200]","[100, 105, 1200, 1202, 1203, 1209]"
213,[200],"[200, 207]"
214,[],[]
215,"[100, 1300, 500]","[100, 105, 500, 506, 1300, 1302]"
216,"[600, 1300]","[600, 602, 604, 1300, 1303, 1304]"
217,"[600, 100, 800]","[100, 105, 600, 604, 800, 806]"
218,"[100, 200, 600]","[100, 105, 200, 201, 600, 603]"
219,[300],"[300, 301]"
220,"[100, 600]","[100, 105, 600, 601]"
221,"[100, 200, 500, 700]","[100, 105, 200, 201, 500, 508, 700, 705]"
222,"[100, 200, 300, 500, 600, 700, 800, 1000, 1200, 1300, 1400, 1500, 1600, 1800, 1900, 2000]","[100, 101, 200, 201, 300, 301, 500, 502, 600, 601, 700, 701, 800, 801, 1000, 1001, 1200, 1202, 1300, 1302, 1400, 1401, 1500, 1501, 1600, 1603, 1800, 1803, 1900, 1901, 2000, 2001]"
223,"[700, 800]","[700, 701, 705, 800, 806]"
224,"[300, 500]","[300, 301, 500, 506, 507]"
225,[300],"[300, 301, 325, 332]"
226,"[500, 300]","[300, 301, 334, 500, 505]"
227,"[100, 180, 1000]","[100, 105, 180, 1000, 1002, 1800, 1803]"
228,"[100, 200, 300, 700]","[100, 105, 107, 200, 300, 301, 334, 700, 705]"
229,"[1900, 700]","[700, 701, 800, 807, 1900, 1901]"
230,"[200, 1800]","[200, 230, 1800, 1803]"
231,[100],"[100, 105]"
232,[],[]
233,"[200, 1000, 500]","[200, 230, 500, 506, 1000, 1001]"
234,"[100, 200, 300]","[100, 105, 107, 200, 201, 300, 301, 344]"
235,"[200, 600, 500]","[200, 207, 500, 508, 600, 603]"
236,[200],"[200, 207]"
237,"[200, 500]","[200, 230, 500, 529]"
238,[2000],[2000]
239,"[300, 100]","[100, 105, 300, 301]"
240,[],[]
241,"[300, 1000]","[300, 301, 1000, 1001]"
242,"[100, 200, 500, 1200]","[100, 105, 200, 201, 500, 504, 1200, 1207, 1209]"
243,"[1000, 1200]","[1000, 1002, 1200, 1202, 1209]"
244,[],[]
245,"[500, 100, 1300]","[100, 107, 500, 1300, 1304]"
246,"[100, 800]","[100, 105, 800, 803]"
247,[100],"[100, 105]"
248,[2000],[2000]
249,"[100, 500]","[100, 105, 500, 503, 507]"
250,"[100, 200]","[100, 105, 200, 201]"
251,"[100, 130, 200]","[100, 105, 130, 200, 207, 1300, 1303]"
252,"[100, 1400]","[100, 105, 1400, 1401, 1406]"
253,"[100, 200]","[100, 105, 200, 201]"
254,"[100, 600]","[100, 105, 600, 601]"
255,"[100, 130, 140]","[100, 105, 130, 140, 1300, 1303, 1400, 1401]"
256,"[100, 200]","[100, 105, 200, 201]"
257,"[100, 200]","[100, 101, 105, 107, 200, 201]"
258,"[300, 200]","[100, 105, 107, 200, 201, 230, 300, 301]"
259,"[100, 200]","[100, 105, 107, 108, 200, 201]"
260,[],[]
261,"[600, 500]","[500, 504, 600, 601]"
262,"[300, 100, 1000]","[100, 101, 103, 104, 105, 107, 200, 201, 202, 207, 208, 230, 300, 301, 331, 1000, 1002, 1003]"
263,"[100, 500, 200]","[100, 105, 200, 201, 500, 504]"
264,"[100, 1400]","[100, 105, 1400, 1401, 1406, 1407, 1409]"
265,"[1000, 200, 100]","[100, 105, 200, 201, 1000, 1001]"
266,"[600, 1300]","[600, 601, 604, 1300, 1303]"
267,"[1300, 300]","[200, 201, 300, 334, 1300, 1304]"
268,"[500, 200]","[200, 201, 500, 505, 529]"
269,"[100, 500]","[100, 103, 500, 505]"
270,[200],"[200, 207]"
271,"[100, 200]","[100, 105, 200, 201, 207]"
272,[],[]
273,[],[]
274,"[100, 200, 700]","[100, 105, 200, 201, 700, 701, 705]"
275,"[100, 200, 700]","[100, 105, 200, 201, 207, 700, 701, 705]"
276,"[100, 500, 600]","[100, 105, 500, 508, 600, 601]"
277,"[200, 1000, 800]","[200, 201, 800, 803, 1000, 1002]"
278,"[100, 500]","[100, 105, 500, 502, 504]"
279,"[100, 200]","[100, 108, 200, 207]"
280,"[100, 200]","[100, 105, 200, 201, 230]"
281,"[200, 500]","[200, 201, 500, 504, 529]"
282,[],[]
283,[],[]
284,[700],"[700, 705]"
285,[1600],"[1600, 1603, 1609]"
286,"[600, 500]","[500, 505, 508, 600, 601, 604]"
287,[200],"[200, 201, 207]"
288,[200],"[200, 207]"
289,"[1000, 2000]","[1000, 1002, 2000, 2012]"
290,[2000],[2000]
291,"[100, 200]","[100, 105, 200, 201]"
292,"[1600, 200]","[200, 201, 1600, 1627]"
293,"[1600, 100]","[100, 105, 1600, 1603]"
294,[],[]
295,"[800, 1600]","[800, 801, 1600, 1603]"
296,[200],"[200, 230]"
297,[],[]
298,"[1000, 200]","[200, 201, 1000, 1001]"
299,[],[]
300,"[100, 1200]","[100, 105, 1200, 1202, 1205]"
301,"[100, 180, 190]","[100, 105, 180, 190, 1800, 1803, 1900, 1901]"
302,[100],"[100, 107]"
303,"[100, 500]","[100, 105, 500, 505]"
304,[200],"[200, 230]"
305,"[1000, 2000]","[1000, 1001, 2000, 2011, 2012]"
306,"[100, 500]","[100, 105, 500, 502]"
307,[],[]
308,[300],"[300, 301]"
309,"[700, 300]","[300, 301, 325, 700, 701]"
310,[1200],"[1200, 1207]"
311,"[100, 200]","[100, 105, 200, 201]"
312,"[100, 130, 140]","[100, 105, 130, 140, 1300, 1303, 1400, 1401]"
313,"[100, 1300, 500, 600]","[100, 105, 500, 502, 600, 601, 1300, 1302]"
314,"[100, 200]","[100, 107, 200, 201]"
315,"[600, 500, 1000]","[500, 502, 600, 601, 1000, 1002]"
316,"[100, 200]","[100, 105, 107, 200, 201]"
317,"[200, 500, 100]","[100, 105, 200, 230, 500, 529]"
318,"[1000, 200, 300]","[200, 201, 300, 301, 1000, 1002]"
319,[],[]
320,[100],"[100, 105]"
321,"[100, 200, 300, 600, 700]","[100, 105, 200, 201, 300, 301, 600, 601, 700, 701]"
322,"[100, 130, 500]","[100, 105, 130, 500, 504, 506, 1300, 1303]"
323,"[100, 700]","[100, 105, 700, 701]"
324,[1000],[1000]
325,"[500, 300]","[300, 301, 331, 500, 504]"
326,[1600],"[1600, 1603, 1609]"
327,"[100, 200, 500, 600]","[100, 105, 200, 201, 500, 507, 600, 603]"
328,"[100, 500]","[100, 105, 500, 508]"
329,[],[]
330,[300],"[300, 331]"
331,"[1400, 500]","[500, 508, 529, 1400, 1401]"
332,[500],"[500, 504, 505, 506]"
333,"[1000, 200]","[200, 201, 1000, 1001]"
334,"[500, 1300]","[500, 529]"
335,"[100, 200]","[100, 105, 200, 201, 230]"
336,"[100, 200]","[100, 105, 107, 200, 201]"
337,[2000],[2000]
338,[1200],"[1200, 1205]"
339,[300],"[300, 301, 332, 334]"
340,"[100, 200, 700]","[100, 105, 200, 201, 700, 701, 703]"
341,"[200, 500, 1000]","[200, 230, 500, 529, 1000, 1001]"
342,"[100, 1300]","[100, 105, 1300, 1303]"
343,"[100, 1400]","[100, 105, 1400, 1401, 1409]"
351,[800],"[800, 801, 803, 806]"
361,"[1600, 100]","[100, 800, 803, 1600, 1603, 1608, 1609, 1610, 1627]"
388,"[700, 400, 100]","[100, 105, 107, 400, 406, 700, 701]"
394,"[1000, 1600]","[1000, 1003, 1600, 1610]"
404,[1200],"[1200, 1205, 1208, 1209]"
416,"[200, 1000, 300]","[200, 207, 300, 301, 1000, 1001]"
429,[300],"[300, 301, 321]"
432,"[300, 100, 1300]","[100, 107, 300, 301, 1300, 1304]"
447,"[100, 200]","[100, 105, 200, 201, 202, 2000, 2032]"
455,"[500, 1300]","[500, 504, 1300, 1302, 1303]"
484,[1200],"[1200, 1205, 1207]"
624,"[100, 200, 400]","[100, 105, 200, 201, 400, 408]"
628,[],[]
671,"[100, 200, 1300, 500, 600]","[100, 105, 200, 201, 500, 502, 600, 604, 1300, 1302]"
737,[700],"[700, 701, 705]"
748,"[1000, 700]","[700, 701, 705, 1000, 1003, 1005, 1006]"
998,[1600],"[1600, 1603, 1608, 1609, 1610]"
1222,[1200],"[1200, 1203, 1205, 1207]"
1361,"[100, 200, 300, 700]","[100, 105, 107, 200, 201, 300, 301, 331, 334, 700, 701, 705]"
1420,[1200],"[1200, 1202, 1205, 1209]"
1426,"[500, 600]","[500, 506, 600, 601, 604]"
1756,"[200, 600]","[200, 207, 600, 603]"
2601,"[100, 400, 500, 200]","[100, 105, 200, 201, 230, 400, 408, 500, 508]"
3070,"[100, 500]","[100, 105, 500, 505]"
3356,"[100, 200]","[100, 105, 200, 201, 207]"
